Meets_Age_Req,Has_Required_License,Has_Health_Cert,Clean_Record,Label
1,1,1,0,0
1,0,1,1,0
1,0,0,1,0
1,0,1,0,0
1,0,1,0,0
1,0,0,0,0
1,0,0,1,0
1,1,1,1,1
1,1,0,0,0
1,0,1,0,0
0,0,1,0,0
1,1,1,1,1
0,0,1,1,0
1,0,1,0,0
1,1,1,0,0
1,0,1,1,0
0,0,0,1,0
0,1,0,1,0
1,0,1,0,0
0,0,1,0,0
0,0,1,1,0
0,0,0,1,0
1,1,1,1,1
0,1,1,1,0
1,0,0,0,0
0,0,0,0,0
1,0,1,1,0
0,1,0,1,0
0,0,1,0,0
0,1,1,1,0
1,0,0,0,0
0,1,1,1,0
0,0,0,1,0
1,1,0,0,0
1,0,0,0,0
0,1,1,1,0
0,0,1,0,0
0,1,1,0,0
1,1,0,1,1
0,0,0,1,0
0,0,0,0,0
1,1,1,0,0
1,0,0,1,0
0,1,0,1,0
0,0,1,1,0
0,1,1,0,0
0,0,0,1,0
0,0,0,1,0
1,1,1,0,0
1,0,1,1,0
0,0,1,1,0
0,1,1,1,0
0,0,1,0,0
0,0,0,0,0
0,0,0,1,0
1,1,0,0,0
1,0,1,0,0
0,1,1,0,0
1,1,0,0,0
1,0,1,0,0
0,0,1,1,0
1,0,0,1,0
1,1,1,0,0
0,1,0,1,0
1,1,0,1,1
1,1,0,1,1
0,1,1,1,0
1,1,1,1,1
0,1,0,0,0
1,1,1,0,0
0,1,1,0,0
1,1,1,0,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,1,1,0
1,0,1,0,0
0,1,0,1,0
1,0,0,1,0
0,1,0,1,0
1,1,0,0,0
1,0,1,0,0
0,0,1,1,0
1,0,1,0,0
1,0,0,1,0
0,1,0,1,0
1,0,1,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,0
1,0,1,0,0
1,0,0,1,0
0,1,0,0,0
0,1,1,0,0
0,0,1,0,0
1,1,0,0,0
1,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,1,1,0
0,1,0,0,0
0,1,0,1,0
1,0,0,1,0
0,0,0,1,0
1,0,0,0,0
1,0,1,1,0
0,1,0,1,0
0,0,0,1,0
0,0,0,0,0
1,0,0,0,0
1,1,1,0,0
1,1,1,1,1
0,0,0,1,0
0,1,1,0,0
0,1,1,0,0
0,1,1,1,0
0,1,0,1,0
1,0,0,0,0
0,0,1,1,0
0,0,0,0,0
1,0,0,0,0
0,0,1,1,0
0,0,1,1,0
1,0,1,0,0
1,1,0,0,0
0,1,1,0,0
0,0,0,1,0
0,1,0,1,0
0,1,1,0,0
0,1,0,0,0
1,1,0,0,0
0,1,0,0,0
0,0,0,1,0
1,1,0,1,1
0,1,0,1,0
0,0,1,1,0
0,0,1,0,0
0,1,0,1,0
1,0,0,1,0
0,1,1,1,0
0,0,1,0,0
0,0,0,1,0
0,1,0,0,0
1,0,1,0,0
1,0,1,0,0
1,0,0,1,0
1,1,1,0,0
0,0,0,0,0
1,0,0,0,0
1,1,0,0,0
1,1,0,1,1
1,0,0,0,0
1,0,0,0,0
1,1,0,1,1
0,0,1,1,0
1,0,1,0,0
0,0,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,1,0
0,1,0,1,0
1,1,1,1,1
1,0,1,1,0
0,1,1,1,0
0,1,1,0,0
0,0,1,1,0
0,1,0,0,0
1,1,0,0,0
1,0,1,0,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,0
1,0,1,1,0
0,1,1,0,0
0,0,0,1,0
0,0,1,1,0
0,0,1,1,0
0,0,0,1,0
0,0,0,0,0
0,0,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,1,0
1,1,0,0,0
1,1,1,1,1
0,1,1,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,1,0
0,0,1,1,0
0,0,1,1,0
0,0,0,1,0
0,1,0,0,0
1,1,1,1,1
1,1,1,0,0
0,0,0,1,0
0,0,0,0,0
0,0,1,1,0
1,1,1,0,0
1,1,0,0,0
1,0,1,0,0
0,0,0,1,0
0,1,1,1,0
0,1,1,0,0
0,0,0,1,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
1,0,1,1,0
0,1,0,1,0
